name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Singapore Airlines Ltd,SIA,N/A,1130755.0,5332304.91,0.4944255265,SG,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Norwegian Air Shuttle ASA,NAS,N/A,5288780.0,5110650.6,0.473873148,NO,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Sabre Corp,SABR,78573M104,5618937.0,20509120.05,1.9016602859,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Textron Inc,TXT,883203101,262574.0,20084285.26,1.8622684716,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Trip.com Group Ltd,TCOM,89677Q107,148601.0,10202944.66,0.9460442287,SG,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
TripAdvisor Inc,TRIP,896945201,1543056.0,22790937.12,2.1132364477,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
United Airlines Holdings Inc,UAL,910047109,1197794.0,116305797.4,10.7841835921,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Aeroports de Paris SA,ADP,N/A,44999.0,5206588.32,0.4827687492,FR,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
TAV Havalimanlari Holding AS,TAVHL,N/A,665463.0,5154908.95,0.4779769002,TR,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Japan Airlines Co Ltd,9201,N/A,632814.0,10024397.95,0.9294889018,JP,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Air France-KLM,AF,N/A,644669.0,5425052.01,0.5030252849,FR,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Air Canada,AC,008911877,1801846.0,27902947.55,2.5872356827,CA,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
